"","len","cluster"
"1271",120,"1"
"1272",78,"1"
"1273",157,"1"
"1274",130,"1"
"1275",91,"1"
"1276",41,"1"
"1277",157,"1"
"1278",142,"1"
"1279",109,"1"
"1280",30,"1"
"1281",134,"1"
"1282",77,"1"
"1283",161,"1"
"1284",138,"1"
"1285",50,"1"
"1286",44,"1"
"1287",122,"1"
"1288",121,"1"
"1289",159,"1"
"1290",71,"1"
"1291",124,"1"
"1292",129,"1"
"1293",44,"1"
"1294",45,"1"
"1295",133,"1"
"1296",122,"1"
"1297",116,"1"
"1298",178,"1"
"1299",120,"1"
"1300",129,"1"
"1301",138,"1"
"1302",123,"1"
"1303",168,"1"
"1304",140,"1"
"1305",128,"1"
"1306",135,"1"
"1307",96,"1"
"1308",229,"2"
"1309",193,"2"
"1310",192,"2"
"1311",118,"1"
"1312",100,"1"
"1313",63,"1"
"1314",135,"1"
"1315",109,"1"
"1316",43,"1"
"1317",145,"1"
"1318",122,"1"
"1319",93,"1"
"1320",128,"1"
"1321",186,"1"
"1322",35,"1"
"1323",127,"1"
"1324",162,"1"
"1325",122,"1"
"1326",76,"1"
"1327",123,"1"
"1328",150,"1"
"1329",124,"1"
"1330",173,"1"
"1331",204,"2"
"1332",46,"1"
"1333",156,"1"
"1334",123,"1"
"1335",66,"1"
"1336",140,"1"
"1337",56,"1"
"1338",159,"1"
"1339",118,"1"
"1340",85,"1"
"1341",136,"1"
"1342",135,"1"
"1343",30,"1"
"1344",126,"1"
"1345",199,"2"
"1346",61,"1"
"1347",128,"1"
"1348",363,"2"
"1349",133,"1"
"1350",68,"1"
"1351",128,"1"
"1352",207,"2"
"1353",75,"1"
"1354",128,"1"
"1355",141,"1"
"1356",96,"1"
"1357",170,"1"
"1358",162,"1"
"1359",123,"1"
"1360",141,"1"
"1361",125,"1"
"1362",131,"1"
"1363",179,"1"
"1364",158,"1"
"1365",44,"1"
"1366",124,"1"
"1367",142,"1"
"1368",123,"1"
"1369",130,"1"
"1370",163,"1"
"1371",138,"1"
"1372",128,"1"
"1373",290,"2"
"1374",112,"1"
"1375",113,"1"
"1376",128,"1"
"1377",127,"1"
"1378",48,"1"
"1379",31,"1"
"1380",80,"1"
"1381",157,"1"
"1382",128,"1"
"1383",145,"1"
"1384",132,"1"
"1385",41,"1"
"1386",139,"1"
"1387",103,"1"
"1388",121,"1"
"1389",277,"2"
"1390",124,"1"
"1391",67,"1"
"1392",37,"1"
"1393",128,"1"
"1394",118,"1"
"1395",143,"1"
"1396",35,"1"
"1397",120,"1"
"1398",127,"1"
"1399",33,"1"
"1400",123,"1"
"1401",59,"1"
"1402",143,"1"
"1403",127,"1"
"1404",55,"1"
"1405",37,"1"
"1406",63,"1"
"1407",48,"1"
"1408",148,"1"
"1409",135,"1"
"1410",131,"1"
"1411",100,"1"
"1412",149,"1"
"1413",128,"1"
"1414",125,"1"
"1415",55,"1"
"1416",115,"1"
"1417",158,"1"
"1418",39,"1"
"1419",136,"1"
"1420",190,"2"
"1421",128,"1"
"1422",55,"1"
"1423",57,"1"
"1424",156,"1"
"1425",48,"1"
"1426",145,"1"
"1427",59,"1"
"1428",36,"1"
"1429",126,"1"
"1430",118,"1"
"1431",160,"1"
"1432",163,"1"
"1433",138,"1"
"1434",247,"2"
"1435",70,"1"
"1436",131,"1"
"1437",147,"1"
"1438",269,"2"
"1439",125,"1"
"1440",156,"1"
"1441",145,"1"
"1442",137,"1"
"1443",134,"1"
"1444",35,"1"
"1445",124,"1"
"1446",89,"1"
"1447",153,"1"
"1448",180,"1"
"1449",153,"1"
"1450",91,"1"
"1451",231,"2"
"1452",93,"1"
"1453",34,"1"
"1454",128,"1"
"1455",125,"1"
"1456",634,"2"
"1457",296,"2"
"1458",133,"1"
"1459",122,"1"
"1460",49,"1"
"1461",69,"1"
"1462",119,"1"
"1463",55,"1"
"1464",43,"1"
"1465",150,"1"
"1466",88,"1"
"1467",76,"1"
"1468",120,"1"
"1469",149,"1"
"1470",123,"1"
"1471",167,"1"
"1472",28,"1"
"1473",316,"2"
"1474",174,"1"
"1475",61,"1"
"1476",108,"1"
"1477",218,"2"
"1478",42,"1"
"1479",133,"1"
"1480",122,"1"
"1481",449,"2"
"1482",169,"1"
"1483",125,"1"
"1484",53,"1"
"1485",126,"1"
"1486",791,"2"
"1487",38,"1"
"1488",128,"1"
"1489",120,"1"
"1490",264,"2"
"1491",167,"1"
"1492",134,"1"
"1493",122,"1"
